000001;TOCA 3 RACER DRIVER 3;PC-DVD;CONDUCCION;ESPAÑOL;10
000002;BUS DRIVER (1 DVD ESP);PC-DVD;CONDUCCION;ESPAÑOL;9
000003;NEED FOR SPEED MOST WANTED;PC-DVD;CONDUCCION;ESPAÑOL;3
000004;OUT RUN 2006 COAST 2 COAST;PC-DVD;CONDUCCION;ESPAÑOL;3
000005;LOS 4 FANTASTICOS;PC-DVD;AVENTURA;ESPAÑOL;14
000006;SERIOUS SAM 2;PC-DVD;SHOOTER;ESPAÑOL;12
000007;CRIMEN LIFE;PC-DVD;AVENTURA, SHOOTER;ESPAÑOL;1
000008;CODE DAVINCI;PC-DVD;AVENTURA;ESPAÑOL;7
000009;TOTAL OVERDOSE;PC-DVD;AVENTURA, SHOOTER;ESPAÑOL;8
000010;WORMS 4 MAYHEN;PC-DVD;ARCADE;ESPAÑOL;2
000011;PIRATAS DEL CARIBE;PC-DVD;AVENTURA;ESPAÑOL;7
000012;WAR CRAFT 3 + FROZEN THRONE + DOTAS ;PC-DVD;ESTRATEGIA;;16
000013;WINNING ELEVENG 9;PC-DVD;DEPORTES;;3
000014;FIFA WORLD CUP GERMANY 2006;PC-DVD;DEPORTES;;15
000015;FIFA 2006;PC-DVD;DEPORTES;;0
000016;FIFA 2007;PC-DVD;DEPORTES;;0
000017;BLITZKRENG 2;PC-DVD;SHOOTER;;6
000018;TOM CLANCYS GHOST RECON ADVANCED WARFIGHTER;PC-DVD;SHOOTER;;6
000019;MEDAL OF HONOR PACIFIC ASSAULT;PC-DVD;SHOOTER;;3
000020;THE REGIMENT;PC-DVD;SHOOTER, AVENTURA;;0
000021;LIQUIDATOR;PC-DVD;AVENTURA;;8
000022;TOM RAIDER LEGEND;PC-DVD;AVENTURA;;9
000023;THE PUNISHER;PC-DVD;AVENTURA, SHOOTER;;4
000024;PRINCIPE DE PERCIA 3: LOS DOS TRONOS;PC-DVD;AVENTURA;;10
