000001;JET LI RISE TO HONOR (CUESTION DE HONOR);ACCIÓN;8;
000002;MAX PAYNE 2 THE FALL OF MAX PAYNE;ACCIÓN;4;
000003;KILL ZONE;ACCIÓN;8;
000004;RESIDENT EVIL DEAD AIM;ACCIÓN;4;
000005;BURNOUT REVENGE;CONDUCCIÓN;1;
000006;CARS;CONDUCCIÓN;7;
000007;DRIVER PARALLEL LINES;CONDUCCIÓN;3;
000008;FLATOUT 2;CONDUCCIÓN;6;
000009;FORMULA 1 2005;CONDUCCIÓN;3;
000010;NASCAR 2005;CONDUCCIÓN;0;
000011;NHRA CHAMPIONSHIP DRAG RACING;CONDUCCIÓN;9;
000012;NEED FOR SPEED MOST WANTED ;CONDUCCIÓN;0;
000013;GRAND THEFT AUTO SAN ANDREAS;ACCIÓN;0;
000014;SEGA RALLY 2006;CONDUCCIÓN;4;
000015;NEED FOR SPEED UNDERGROUND 2;CONDUCCIÓN;18;
000016;SONIC RIDERS ;CONDUCCIÓN;5;
000017;DESTRUCTION DERBY ARENAS;CONDUCCIÓN;13;
000018;BURNOUT 3 TAKEDOWN;CONDUCCIÓN;9;
000019;ALTERED BEAST;ACCIÓN;6;
000020;SPONGEBOB SQUAREPANTS LIGHTS,CAMERA,PANTS!;INFANTILES;7;
000021;BATMAN BEGINS;ACCIÓN;5;
000022;BLACK ;ACCIÓN;0;
000023;BLOOD RAYNE 2;ACCIÓN;2;
000024;BUSCANDO A NEMO;INFANTILES;4;
000025;CASTLEVANIA;ACCIÓN;9;
000026;CRASH TAG TEAM RACING;CONDUCCIÓN;2;
000027;CHICKEN  LITTLE;INFANTILES;4;
000028;DIGIMON DIGIMON WORLD 4;ROL;5;
000029;GAUNTLEF;ACCIÓN;5;
000030;GRAND THEFT AUTO LIBERTY CITY STORIES;ACCIÓN;4;
000031;GRANDIA 3;ROL;4;
000032;GRADIUS;ROL;7;
000033;HARRY POTTER QUIDDITCH WORLD CUP;ROL;1;
000034;HITMAN BLOOD MONEY;ACCIÓN;3;
000035;ICO;ROL;6;
000036;LAS CRONICAS DE NARNIA;ROL;7;
000037;LOS 4 FANTASTICOS (VOCES EN ESP.);ACCIÓN;6;
000038;MADAGASCAR;INFANTILES;0;
000039;MONSTER RANCHER EVO;ROL;1;
000040;OVER THE HEDGE VECINOS INVASORES;INFANTILES;6;
000041;YS THE ARK OF NAPISHTIM;ROL;1;
000042;SEA WORLD AVENTURE;ROL;8;
000043;SHADOW OF THE COLOSSUS;ROL;6;
000044;SOUL CALIBUR 2;ROL;6;
000045;SPIDER MAN 2;ACCIÓN;10;
000046;STUART LITTLE 3 BIG PHOTO ADVENTURE;INFANTILES;7;
000047;TEENAGE MUTANT NINJA TURTLES 2 BATTLE NEXUS;INFANTILES;10;
000048;ULTRAMAN REBIRTH FIGTING EVOLUTION;ROL;6;
000049;ULTIMATE SPIDER MAN;ACCIÓN;2;
000050;JAK 3 ;INFANTILES;7;
000051;SEÑOR DE LOS ANILLOS LAS DOS TORRRES;ACCIÓN;10;
000052;OUTLAW VOLLEYBALL;DEPORTIVO;10;
000053;FIGHT NIGHT ROUND 3 ;DEPORTIVO;7;
000054;FINAL FIGHT;ARCADE;6;
000055;ROCKY LEGEND;ARCADE;3;
000056;VICTORIOUS BOXER 2  FIGHTING SPIRIT;ARCADE;1;
000057;FIFA STREET  ;DEPORTIVO;9;
000058;FIFA STREET 2;DEPORTIVO;20;
000059;GERMANY 2006;DEPORTIVO;4;
000060;WINNING ELEVEN 10 ESPAÑOL;DEPORTIVO;0;
000061;WINNING ELEVEN 10 INGLES;DEPORTIVO;4;
000062;WINNING ELEVEN 7 NIKEFOOLBALL 2;DEPORTIVO;4;
000063;WINNING ELEVEN 8 ESP;DEPORTIVO;0;
000064;WINNING ELEVEN 9;DEPORTIVO;1;
000065;WINNING ELEVEN 6;DEPORTIVO;0;
000066;WINNING ELEVENG 8 OLE MIX;DEPORTIVO;0;
000067;DEF JAM VENDETTA;ARCADE;6;
000068;PRODE FC;ARCADE;7;
000069;SHADOW HEARTS;ARCADE;6;
000070;SMACK VS. RAW;ARCADE;3;
000071;SMACK VS. RAW 2006;ARCADE;4;
000072;UFC SUDDEN IMPACT;ARCADE;9;
000073;MOTOCROSS MANIA 3;CONDUCCIÓN;7;
000074;FREEKSTYLE;CONDUCCIÓN;15;
000075;BEAT MANIA;ROL;6;
000076;DANCE DANCE REVOLUTION EXTREME 2;SIMULADOR;11;
000077;50 CENT BULLETPROOF;ACCIÓN;8;
