000001;JET LI RISE TO HONOR (CUESTION DE HONOR);7
000002;MAX PAYNE 2 THE FALL OF MAX PAYNE;7
000003;KILL ZONE;2
000004;RESIDENT EVIL DEAD AIM;0
000005;BURNOUT REVENGE;7
000006;CARS;6
000007;DRIVER PARALLEL LINES;7
000008;FLATOUT 2;6
000009;FORMULA 1 2005;0
000010;NASCAR 2005;0
000011;NHRA CHAMPIONSHIP DRAG RACING;0
000012;NEED FOR SPEED MOST WANTED ;0
000013;GRAND THEFT AUTO SAN ANDREAS;5
000014;SEGA RALLY 2006;8
000015;NEED FOR SPEED UNDERGROUND 2;12
000016;SONIC RIDERS ;8
000017;DESTRUCTION DERBY ARENAS;7
000018;BURNOUT 3 TAKEDOWN;6
000019;ALTERED BEAST;7
000020;SPONGEBOB SQUAREPANTS LIGHTS,CAMERA,PANTS!;7
000021;BATMAN BEGINS;6
000022;BLACK ;8
000023;BLOOD RAYNE 2;8
000024;BUSCANDO A NEMO;15
000025;CASTLEVANIA;6
000026;CRASH TAG TEAM RACING;6
000027;CHICKEN  LITTLE;6
000028;DIGIMON DIGIMON WORLD 4;8
000029;GAUNTLEF;7
000030;GRAND THEFT AUTO LIBERTY CITY STORIES;0
000031;GRANDIA 3;0
000032;GRADIUS;0
000033;HARRY POTTER QUIDDITCH WORLD CUP;0
000034;HITMAN BLOOD MONEY;8
000035;ICO;7
000036;LAS CRONICAS DE NARNIA;7
000037;LOS 4 FANTASTICOS (VOCES EN ESP.);0
000038;MADAGASCAR;17
000039;MONSTER RANCHER EVO;0
000040;OVER THE HEDGE VECINOS INVASORES;7
000041;YS THE ARK OF NAPISHTIM;0
000042;SEA WORLD AVENTURE;0
000043;SHADOW OF THE COLOSSUS;8
000044;SOUL CALIBUR 2;6
000045;SPIDER MAN 2;7
000046;STUART LITTLE 3 BIG PHOTO ADVENTURE;7
000047;TEENAGE MUTANT NINJA TURTLES 2 BATTLE NEXUS;7
000048;ULTRAMAN REBIRTH FIGTING EVOLUTION;0
000049;ULTIMATE SPIDER MAN;6
000050;JAK 3 ;7
000051;SEÑOR DE LOS ANILLOS LAS DOS TORRRES;7
000052;OUTLAW VOLLEYBALL;7
000053;FIGHT NIGHT ROUND 3 ;8
000054;FINAL FIGHT;7
000055;ROCKY LEGEND;6
000056;VICTORIOUS BOXER 2  FIGHTING SPIRIT;0
000057;FIFA STREET  ;10
000058;FIFA STREET 2;16
000059;GERMANY 2006;0
000060;WINNING ELEVEN 10 ESPAÑOL;0
000061;WINNING ELEVEN 10 INGLES;0
000062;WINNING ELEVEN 7 NIKEFOOLBALL 2;0
000063;WINNING ELEVEN 8 ESP;0
000064;WINNING ELEVEN 9;0
000065;WINNING ELEVEN 6;0
000066;WINNING ELEVENG 8 OLE MIX;0
