000001;CALL OF DUTY 3;Wii;9
000002;MONSTER 4X4;Wii;6
000003;DISNEY´S THE ROBINSONS;Wii;3
000004;DRAGON BAL Z TENKAICHI 2;Wii;6
000005;EXCITE TRUCK;Wii;0
000006;MARIO PARTY 7;Wii;0
000007;MEDAL OF HONOR VANGUARD;Wii;14
000008;METAL SLUG ANTOLOGY;Wii;13
000009;MONSTER 4X4;Wii;8
000010;PRINCE PERSIA RIVAL SWORDS;Wii;7
000011;REDSTEEL;Wii;10
000012;SPONGE BOB SQUARENPANTS;Wii;8
000013;SSX BLUR;Wii;7
000014;SUPER PAPER MARIO;Wii;5
000015;TMNT;Wii;4
000016;TONY HAWK´S DOWNHILL JAM;Wii;5
000017;TRAUMA CENTER SECON OPINION;Wii;4
000018;WARIO WARRE SMOOTH MOVES;Wii;4
000019;MORTAL KOMBAT;Wii;11
000020;SHREK THE THIRD TERCERO;Wii;7
000021;RESIDENT EVIL 4 WII EDITION;Wii;9
000022;POKEMON BATLE REVOLUTION;Wii;6
000023;MADEN NFL 07;Wii;7
000024;RAYMAN RAVING RABBIDS;Wii;10
000025;SURF´SUP;Wii;6
000026;SCARFACE;Wii;4
000027;COOKING MAMA;Wii;7
000028;FARCRY VENGEANCE;Wii;3
000029;FANTASTIC FOUR RISE SILVER;Wii;7
000030;CHICKEN SHOOT;Wii;5
000031;SUPER SWING GOLF;Wii;6
000032;THE AVENTURAS BILLY MANDY;Wii;12
000033;THE SIMS  2 PETS;Wii;13
000034;BRUNSWICK;Wii;2
000035;ZELDA TWLICHE PRINCESS;Wii;13
000036;BIG BRAIN ACADEMY WII DREE;Wii;6
000037;WII SPORTS ;Wii;24
000038;TUGER WOODS PGA TOUR 07;Wii;2
000039;DONKEY KONG BARREL BLAST;Wii;11
000040;BOOGIE;Wii;7
000041;SPIDERMAN 3;Wii;5
000042;WII PLAY;Wii;9
000043;ANTY BULLY;Wii;3
000044;APONGEBPB SQUARENPANTS CREATURE ;Wii;6
000045;ALIEN SYNDROME;Wii;6
000046;BUST A MOVE BASH!;Wii;4
000047;BLAZING ANGELS;Wii;3
000048;TRANSFORMES;Wii;11
000049;RATATOUILLE;Wii;13
000050;HARRY POTHER;Wii;11
000051;THE BIGS;Wii;8
000052;MARIO STRIKERS CHARGERD FOOTBALL;Wii;17
000053;THRILLVILLE OFF THE RAIL RUSA;Wii;5
000054;NICKTOONS ATTACK OF THE TOYBOTS;Wii;9
000055;HEATSEEKER ;Wii;4
000056;TONY HAWK´S PROVING GROUND;Wii;11
000057;SPYRO THE ETERNAL NICHT;Wii;4
000058;ZACK Y WIKI FOR BARBAROS TREASURE ;Wii;7
000059;TABLE TENNIS ROCKSTAR GAMES;Wii;7
000060;VICTORIOUS BOXERS REVOLUTION;Wii;9
000061;AVATAR THE LAST AIRBENDER;Wii;7
000062;BILLY THE WIZARD ROCKET BROOMSTICK RACING;Wii;8
000063;CRASH OF THE TITANS;Wii;8
000064;BALLS OF FURY;Wii;9
000065;BLEACH ESPADAS ESPADAS;Wii;5
000066;SPLINTER CELL DOUBLE AGENT ;Wii;18
000067;DRIVER PARALLELLINES;Wii;5
000068;CHICKEN LITTLE ACE IN ACTION;Wii;19
000069;DEWY´S ADVENTURE;Wii;10
000070;CARNIVAL GAMES OVER 25 GAMES;Wii;5
000071;MY SIMS;Wii;5
000072;NINJABREAD MAN;Wii;9
000073;RAPALA TOURNAMENT FISHING;Wii;6
000074;SONIC AND THE SECRET RINGS;Wii;5
000075;POKER ALL IN WORLD CHAMPION;Wii;5
000076;SPIDERMAN FRIEND OR FOE;Wii;13
000077;ELEBITS ;Wii;8
000078;THE GODFATHER BLACHAND EDITION;Wii;5
000079;TIGER WOODS PGA TOUR 08;Wii;15
000080;ROCK´ROLL ADVENTURES;Wii;10
000081;LOONEY TUNES ACME ARSENAL;Wii;9
000082;POOL PARTY;Wii;6
000083;FIFA 08;Wii;4
000084;ICE AGE 2 ERA DEL HIELO;Wii;11
000085;ULTIMATE ALLIANCE;Wii;2
000086;METROID PRIME  CORRUPTION;Wii;9
000087;LEGEND OF THE DRAGON;Wii;6
000088;MADDEN NFL 08;Wii;1
000089;MBL POWER PROS;Wii;6
000090;BUG ISLAND ESCAPE FROM;Wii;4
000091;GUILTY GEAR XX CORE;Wii;2
000092;DRAGON BALL Z SPARKING METEOR;Wii;13
000093;MANHUNT 2;Wii;7
000094;PLAYGROUND;Wii;6
000095;BACKYARD FOOBALL 08;Wii;3
000096;MERCURY MELTDOWN REVOLUTION;Wii;8
000097;NARUTO SHIPPUDEN GEITO NINJA TAISEN EX;Wii;10
000098;NEED FOR SPIEED CARBON;Wii;12
000099;COUNTER FORCE;Wii;9
000100;LEGO STAR WARS;Wii;17
000101;MARIO GALAXI;Wii;16
000102;BEEN 10 PROTECTOR;Wii;5
000103;STAR TRECK CONQUEST;Wii;13
000104;RESIDENT UMBRELLA CHRONICLES;Wii;7
000105;MARIO SONIC;Wii;8
000106;DANCING WITH STAR;Wii;4
000107;FIRE EMBLEM ;Wii;2
000108;ASTERIX EN LOS JUEGOS OLIMPICOS;Wii;10
000109;TRAUMA CENTER 2;Wii;4
000110;GALAXIES;Wii;2
000111;NARUTO 2;Wii;6
000112;GUNDAN;Wii;5
000113;CARS 2;Wii;8
000114;BRATS MOVIE;Wii;11
000115;BACK YARD;Wii;8
000116;LINK CROSSROW;Wii;5
000117;BOULING PIBUSTER;Wii;7
000118;FISHINS MASTER;Wii;9
000119;CRANWM KABOOKI;Wii;9
000120;MY WORLD COACH;Wii;7
000121;SMAUTY PANTS;Wii;9
000122;SUPER MONKEY BALL;Wii;11
000123;DRAGON BALL Z TENKAICHI 3;Wii;6
000124;HIGH SHOOL MUSIC;Wii;18
000125;WING ISLAND;Wii;6
000126;RAYMAN RAVING RABBIDS 2;Wii;8
000127;THE GOLDEN COMPAS;Wii;5
000128;TOM RAIDER ANIVERSARY;Wii;4
000129;GUITAR HERO III;Wii;12
000130;MYTH MAKERS ORBS OF DOOW;Wii;8
000131;HOT WHEELS BEAT THAT;Wii;12
000132;HANNAH MONTANA;Wii;9
000133;INDIANAPOLIS 500 LEGENDS;Wii;6
000134;MEDAL OF HONOR HEROES 2;Wii;5
000135;NFS FOR SPEED PRO STREEF;Wii;3
000136;NAMCO;Wii;0
000137;CABELAS BIG;Wii;2
000138;SMACK DOW 2008;Wii;0
000139;JUMPER;Wii;2
000140;THE SPIDERWICK CHRONICLES;Wii;9
000141;B WII BATTALLON WARS 2;Wii;6
000142;LUXHOR PHARAOH;Wii;11
000143;DESTROY ALL HUMANS;Wii;12
000144;BOMBERMAN LAND;Wii;4
000145;PIMP MY RIDE;Wii;6
000146;LONDON TAXI;Wii;8
000147;SUPER SMASH BROSS;Wii;11
000148;SAFARI RESCUE;Wii;10
000149;CSI CRIME;Wii;5
000150;NO MORE HEROES;Wii;5
000151;NBA LIVE 08;Wii;4
000152;AGATHA CHRISTIE AND THEN THERE WERE NONE;Wii;4
000153;THE SIMSPSONS GAME;Wii;7
000154;BEE MOVIE GAME;Wii;8
000155;SEGA SUPERSTARS TENNIS;Wii;3
000156;NARUTO CLASH OF NINJA REVOLUTION;Wii;10
000157;THE SIMS 2 CASTAWAY;Wii;11
000158;SOUL CALIBUR LEGENDS;Wii;6
000159;PRO EVOLUTION SOCCER 08;Wii;10
000160;OFFROAD EXTREME;Wii;8
000161;COSMIC FAMILY;Wii;5
000162;HOOKED! REAL MOTION;Wii;5
000163;OBSCURE THE AFTERMACH;Wii;6
000164;PRO EVOLUTION SOCCER 09;Wii;0
000165;GO WEST;Wii;7
000166;MARIO PARTY 8;Wii;6
000167;GHOST SQUAD;Wii;1
000168;MARIO KART;Wii;18
000169;SUPER SMASH BROS  BRAWL DVD 8 ESP.;Wii;0
000170;DECA SPORTS;Wii;6
000171;EMERGENCI MAYHEM;Wii;6
000172;FAMILY SKI;Wii;5
000173;NITRO BIKE;Wii;11
000174;WORMS;Wii;5
000175;SEGA BASS FISHING;Wii;7
000176;ALVIN AND THE CHIPMUNK;Wii;6
000177;PAPER MARIO;Wii;10
000178;SPY GAMES ELEVATOR MISION;Wii;6
000179;NIGHTS JOURNEY OF DREAMS;Wii;4
000180;MX VS ATV UNTAMET;Wii;5
000181;SUPER MARIO COLECCIÓN SPORT;Wii;4
000182;PUPPY LUV;Wii;12
000183;ZELDA COLLECCION;Wii;0
000184;ONE PIECE UNLIMITED ADVENTURE;Wii;7
000185; JENGA WORL TOUR;Wii;7
000186;BIG BEACH SPORT;Wii;7
