000001;SMACK DOW 2007;XBOX360;ARCADE;ESPAÑOL;0
000002;LOST PLANET;XBOX360;AVENTURA,SHOOTER, ACCION;ESPAÑOL;1
000003;STREEF HOMECOURT;XBOX360;DEPORTES;ESPAÑOL;8
000004;MASS EFFECT ;XBOX360;SHOOTER;ESPAÑOL;5
000005;DARKNESS;XBOX360;AVENTURA,SHOOTER, ACCION;ESPAÑOL;4
000006;CONAN;XBOX360;AVENTURA ;ESPAÑOL;7
000007;GUITAR HERO 3;XBOX360;SIMULACION;ESPAÑOL;10
000008;HALO 3;XBOX360;SHOOTER;ESPAÑOL;15
000009;JERICHO;XBOX360;SHOOTER;ESPAÑOL;1
000010;OBLIVION;XBOX360;AVENTURA;ESPAÑOL;0
000011;FIFA 2008;XBOX360;DEPORTES;ESPAÑOL;0
000012;OVER G FIGTERS;XBOX360;SIMULACION;ESPAÑOL;1
000013;KINGDOM FIRE;XBOX360;ESTRATEGIA;ESPAÑOL;3
000014;TIME SHIFT;XBOX360;SHOOTER;ESPAÑOL;8
000015;NEED FOR SPEED PRO STREEF;XBOX360;CONDUCCION;ESPAÑOL;1
000016;KANE Y LINCH ;XBOX360;SHOOTER;ESPAÑOL;1
000017;STRANGHOLD;XBOX360;SHOOTER;ESPAÑOL;3
000018;TONY HAWKS PROVING GROUND;XBOX360;SIMULACION;ESPAÑOL;8
000019;DEF JAM ICON;XBOX360;ARCADE;ESPAÑOL;4
000020;VIRTUA FIGHTER 5;XBOX360;ARCADE;ESPAÑOL;3
000021;NARUTO;XBOX360;ARCADE;ESPAÑOL;6
000022;PGR4 RACING;XBOX360;CONDUCCION;ESPAÑOL;3
000023;RAIN VAMPIRE;XBOX360;AVENTURA;ESPAÑOL;4
000024;CSI HARD EVIDENCE;XBOX360;ESTRATEGIA;ESPAÑOL;0
000025;THE GOLDEN COMPASS;XBOX360;AVENTURA;ESPAÑOL;1
000026;MOSTER JAM;XBOX360;CONDUCCION;ESPAÑOL;7
000027;BATTLE FOR THE PACIFIC;XBOX360;SHOOTER;ESPAÑOL;3
000028;CALL OF DUTY 4;XBOX360;SHOOTER;ESPAÑOL;5
000029;SEGA RALLY ;XBOX360;CONDUCCION;ESPAÑOL;11
000030;MEDAL OF HONOR AIRBONE;XBOX360;SHOOTER;ESPAÑOL;13
000031;ASSASSIN'S CREED;XBOX360;AVENTURA;ESPAÑOL;11
000032;BEOWULF THE GAME;XBOX360;AVENTURA;ESPAÑOL;3
000033;COLIN MCRAE DIRT;XBOX360;CONDUCCION;ESPAÑOL;3
000034;GUN ;XBOX360;SHOOTER;ESPAÑOL;0
000035;BULLEF WITCH;XBOX360;TERROR;ESPAÑOL;4
000036;SPIDER MAN 3;XBOX360;AVENTURA;ESPAÑOL;0
000037;CRACKDOWN;XBOX360;SHOOTER;ESPAÑOL;3
000038;THE BATTLE FOR MIDDLE EARTH;XBOX360;ESTRATEGIA;ESPAÑOL;3
000039;STAR TREK;XBOX360;ESTRATEGIA;ESPAÑOL;2
000040;CALL OF DUTY 3;XBOX360;SHOOTER;ESPAÑOL;0
000041;VITUAL TENIS 3;XBOX360;DEPORTES;ESPAÑOL;3
000042;PRO EVOLUTION SOCCER 2007;XBOX360;DEPORTES;ESPAÑOL;0
000043;FORZA 2;XBOX360;CONDUCCION;ESPAÑOL;2
000044;FERA FILES ;XBOX360;TERROR;ESPAÑOL;15
000045;EARTH DEFENSE FORCE 20117;XBOX360;ESTRATEGIA;INGLES;0
